order_date,daily_revenue
2025-01-01,8925419.54
2025-01-02,9350449.46
2025-01-03,9296851.81
2025-01-04,9286329.5
2025-01-05,9552658.43
2025-01-06,9619176.82
2025-01-07,9345150.61
2025-01-08,9410074.06
2025-01-09,9315657.06
2025-01-10,9351339.51
2025-01-11,9231293.32
2025-01-12,9173609.19
2025-01-13,9247737.0
2025-01-14,9365112.13
2025-01-15,9347064.62
2025-01-16,9333386.98
2025-01-17,9353131.08
2025-01-18,9492641.75
2025-01-19,9355952.42
2025-01-20,9336282.92
2025-01-21,9285276.72
2025-01-22,9136232.21
2025-01-23,9389121.33
2025-01-24,9182384.77
2025-01-25,9501107.2
2025-01-26,9229694.28
2025-01-27,9294736.44
2025-01-28,9127766.38
2025-01-29,9312313.81
2025-01-30,9323525.32
2025-01-31,382884.92
